tweets,date,city,user_location,id,link
"No jodas 

Si eso mismo lo hizo Claudia López cuando estaba en campaña, criticaba al Esmad y policía, y en este momento no ha hecho nada. 

Les dice 'pelaos de mi corazón' y cuántos muertos ya van. No me jodan. https://t.co/kTNN7dYwXE",2021-05-19 16:07:30,Cali,Colombia,1395048476833161218,https://twitter.com/i/web/stuatus/1395048476833161218
"Nuestros jóvenes son nuestro más grande tesoro, por eso Uribe les echa su policía, su esmad, su odio, sus armas 
Uribe enemigo de nuestros jóvenes que con dignidad salen a las calles a protestar por sus derechos violados",2021-05-19 16:07:19,Cali,Colombia,1395048429940875271,https://twitter.com/i/web/stuatus/1395048429940875271
"😩😩😩 Eso ya no tiene solución, pero, si se puede retomar la humanización de las FFMM como está contemplado pasando a la Policía al Min Gob y quitándole su formación de vigerancia militar. Igual desmontar el ESMAD y que el ejército y la Armada sean para defender la Soberanía nal https://t.co/MciXMUR3N8",2021-05-19 16:06:28,Cali,Colombia,1395048218321375239,https://twitter.com/i/web/stuatus/1395048218321375239
"@CNNEE El Esmad es provocador, el gobierno infiltrando vándalos en las marchas pacíficas, así justifican los ataques. pueden consultar en redes sociales los videos. en Cali y otras ciudades quitan en los barrios la energía para que la policía dispare a discreción a los ciudadanos",2021-05-19 16:03:10,Cali,Colombia,1395047387656343555,https://twitter.com/i/web/stuatus/1395047387656343555
La vieja facha cuando ve al ESMAD y a la policia dando bala https://t.co/iT2LTnPp9M,2021-05-19 15:59:42,Cali,"Bogotá, D.C., Colombia",1395046514716708865,https://twitter.com/i/web/stuatus/1395046514716708865
"@ELTIEMPO Si no hay esmad, que no haya policía, que pongan su gente como escudos humanos...ojalá todo salga bien y no estén llorando ni exigiendo",2021-05-19 15:48:52,Cali,Colombia,1395043787651657737,https://twitter.com/i/web/stuatus/1395043787651657737
"@gloriairp @NoticiasCaracol 1. Esmad y policia en varios videos desde el 9S han lanzado piedras y aturdidoras contra vidrios, estaciones, viviendas. Esos daños deberían asumirlos.
2. El paro, la protesta son pacíficas y justo cuando llega la policía se desata la violencia. El paro busca cambios de fondo.",2021-05-19 15:10:28,Cali,"Bogotá, DC, Colombia",1395034124314890243,https://twitter.com/i/web/stuatus/1395034124314890243
"La represión violenta anoche en Bogotá dejó como saldo 68 jóvenes heridos, 5 de ellos con afectaciones oculares por la acción del ESMAD. Pero según la Alcaldesa, la culpa es de Petro y no de ella que dirige la policia, policía que está masacrando a la juventud en la ciudad.",2021-05-19 15:05:02,Cali,"Bogotá, D.C., Colombia",1395032756221005826,https://twitter.com/i/web/stuatus/1395032756221005826
#ParoNacional19M #Policía #ESMAD Profesores de la Universidad de Leipzig aseguran que la Policía colombiana no ha salido de la ideología de la Guerra Fría 🤔 https://t.co/Yy5TOC8yXS,2021-05-19 14:57:53,Cali,Colombia,1395030958110388235,https://twitter.com/i/web/stuatus/1395030958110388235
"@ClaudiaLopez Doña, si usted no quiere a los jóvenes de carne de cañón, entonces deje de mandar al ESMAD y la policía a las manifestaciones pacíficas. Hasta donde yo sé, usted puede dar ese tipo de ordenes. Así lo hizo su amiguis de Jamundí.",2021-05-19 14:56:58,Cali,Colombia,1395030728606367745,https://twitter.com/i/web/stuatus/1395030728606367745
"@ClaudiaLopez  nefasta su administración, solo sale a tronar en contra de Uribe y Duque, la policía no le copia, y usted se hace la estúpida con todo lo que hace el esmad con los manifestantes, mediocre!",2021-05-19 14:53:35,Cali,Colombia,1395029876751613958,https://twitter.com/i/web/stuatus/1395029876751613958
"Estos son los ""desbloqueos"" en los que debería trabajar el ejército, la policía y el Esmad. Si se despliega esa ""fuerza"" para mejorar las vías, para llevar mercados, medicamentos, para hacer ""Buenas obras"", entonces las instituciones cumplirían su misión. #NoMasKakistocracia https://t.co/YsXY6zkSxZ",2021-05-19 14:53:26,Cali,Colombia,1395029838310920194,https://twitter.com/i/web/stuatus/1395029838310920194
"@Diego_Molano Como hago para denuncia policías golpeando estudiantes vestidos de civiles, esmad  violando niñas en estaciones de policía, militares apuntando en barrios residenciales a quien encuentren ?",2021-05-19 14:51:23,Cali,"Cali, Colombia",1395029321794916356,https://twitter.com/i/web/stuatus/1395029321794916356
#MamadosDe  de todos los que salen a vandalizar las marchas y cuando llega el ESMAD  y la policía se portan así https://t.co/wnMSgtherJ,2021-05-19 14:49:11,Cali,Colombia ,1395028770143232000,https://twitter.com/i/web/stuatus/1395028770143232000
"@dw_espanol ¿Se puede pretender que no haya indignación y que no falle el diálogo cuando aparte de que el gobierno miente y no tiene voluntad política, la policía y su escuadrón de la muerte el #Esmad ni siquiera respetan a una niña en primera infancia? https://t.co/Vt2byNpEt3",2021-05-19 14:49:04,Cali,Colombia,1395028741194240000,https://twitter.com/i/web/stuatus/1395028741194240000
"@guillelombana @AndresTx2 @DarschanOcampo @JorgeIvanOspina Guillermo, la policía debe estar concentrada en los puntos estratégicos, al margen del sitio por donde se movilizan los manifestantes. Las marchas siempre han sido pacificas. El vandalismo es en la periferia de las mismas. Poner el ESMAD a controlar las marchas es equivocado.",2021-05-19 14:47:20,Cali,"Cali, Colombia",1395028301735944199,https://twitter.com/i/web/stuatus/1395028301735944199
"@LuisPig77 @angork @alexpul26703639 @AndresLopezALA2 @mlagder @PoliciaColombia Pues para mí no tiene ninguna diferencia una agente del esmad, un policía, un soldado, todos son trabajadores, todos tienen familias, sabes que es lo malo cuando el adorar una institución te nubla el panorama, el tema está en las instituciones.",2021-05-19 14:39:31,Cali,COLOMBIA,1395026336356372486,https://twitter.com/i/web/stuatus/1395026336356372486
